2 választási eredmény
Párt1 - 198663
Párt2 - 199126
Párt3 - 24009
Párt4 - 42086
Párt5 - 152101
Párt6 - 117863
Párt7 - 166506
Párt8 - 1050
Párt9 - 91087
Párt10 - 159615
Párt11 - 44495
Párt12 - 123849
Párt13 - 180905
Párt14 - 59689
Párt15 - 8989
Párt16 - 160219
Párt17 - 127683
Párt18 - 84682
Párt19 - 87906
Párt20 - 16000
Párt21 - 105803
Párt22 - 78383
Párt23 - 14548
Párt24 - 189366
Párt25 - 9666809
Párt26 - 146250
Párt27 - 32021
Párt28 - 192504
Párt29 - 5030
Párt30 - 150144
Párt31 - 185407
Párt32 - 149397
Párt33 - 88042
Párt34 - 11842
Párt35 - 44181
Párt36 - 9718
Párt37 - 187824
Párt38 - 60053
Párt39 - 130378
Párt40 - 80141
Párt41 - 192583
Párt42 - 42179
Párt43 - 59431
Párt44 - 55603
Párt45 - 154316
Párt46 - 5326
Párt47 - 161316
Párt48 - 88927
Párt49 - 107164
Párt50 - 87615
Párt51 - 109
Párt52 - 20480
Párt53 - 60142
Párt54 - 136107
Párt55 - 18716
Párt56 - 99681
Párt57 - 158529
Párt58 - 112313
Párt59 - 39358
Párt60 - 60255
Párt61 - 106762
Párt62 - 27
Párt63 - 34502
Párt64 - 193937
Párt65 - 25392
Párt66 - 121158
Párt67 - 36728
Párt68 - 3430
Párt69 - 127737
Párt70 - 53786
Párt71 - 42454
Párt72 - 66548
Párt73 - 129606
Párt74 - 150580
Párt75 - 86432
Párt76 - 76836
Párt77 - 153399
Párt78 - 29727
Párt79 - 99267
Párt80 - 61465
Párt81 - 10430
Párt82 - 124190
Párt83 - 174722
Párt84 - 165563
Párt85 - 199802
